Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,45.640999,45.659000,45.374001,45.858002,45.858002,0
2011-01-04,45.303001,45.457001,45.063000,45.320999,45.320999,0
2011-01-05,45.136002,45.395000,45.136002,45.136002,45.136002,0
2011-01-06,45.180000,45.243999,44.985001,45.202999,45.202999,0
2011-01-07,44.950001,45.249001,44.937000,44.925999,44.925999,0
2011-01-10,45.143002,45.224998,44.893002,45.200001,45.200001,0
2011-01-11,44.692001,44.696999,44.301998,45.132000,45.132000,0
2011-01-12,44.404999,44.745998,44.404999,44.528000,44.528000,0
2011-01-13,44.771000,45.137001,44.771000,44.742001,44.742001,0
2011-01-14,45.001999,45.186001,44.702999,44.993999,44.993999,0
2011-01-17,44.808998,45.369999,44.808998,44.265999,44.265999,0
2011-01-18,45.180000,45.473000,45.098000,45.134998,45.134998,0
2011-01-19,45.570000,45.702999,45.474998,45.231998,45.231998,0
2011-01-20,45.252998,45.450001,44.941002,45.271000,45.271000,0
2011-01-21,44.299000,45.209000,44.208000,44.272999,44.272999,0
2011-01-24,45.016998,45.469002,44.966000,45.090000,45.090000,0
2011-01-25,45.304001,45.528000,45.214001,45.356998,45.356998,0
2011-01-26,45.476002,45.476002,45.185001,45.388000,45.388000,0
2011-01-27,45.379002,45.448002,44.959999,45.383999,45.383999,0
2011-01-28,45.063000,45.637001,45.063000,45.209999,45.209999,0
2011-01-31,45.598999,45.813000,45.507000,45.382000,45.382000,0
2011-02-01,45.825001,46.167999,45.758999,45.660999,45.660999,0
2011-02-02,46.082001,46.209999,45.782001,45.907001,45.907001,0
2011-02-03,46.146999,46.271999,45.978001,45.883999,45.883999,0
2011-02-04,46.493000,46.505001,46.215000,46.171001,46.171001,0
2011-02-07,46.234001,46.284000,45.939999,46.230000,46.230000,0
2011-02-08,45.970001,46.144001,45.766998,45.924000,45.924000,0
2011-02-09,45.907001,46.016998,45.801998,45.811001,45.811001,0
2011-02-10,45.939999,45.973999,45.667999,45.882000,45.882000,0
2011-02-11,45.723999,45.738998,45.474998,45.664001,45.664001,0
2011-02-14,45.941002,45.941002,45.271000,45.695999,45.695999,0
2011-02-15,45.687000,45.688000,45.278999,45.474998,45.474998,0
2011-02-16,45.321999,45.485001,45.141998,45.264999,45.264999,0
2011-02-17,45.587002,45.615002,45.395000,45.466000,45.466000,0
2011-02-18,45.853001,45.853001,45.528999,45.720001,45.720001,0
2011-02-21,45.758999,45.758999,45.261002,45.772999,45.772999,0
2011-02-22,45.244999,45.453999,45.167000,45.248001,45.248001,0
2011-02-23,45.353001,45.402000,44.958000,45.089001,45.089001,0
2011-02-24,45.532001,45.939999,45.432999,45.175999,45.175999,0
2011-02-25,46.064999,46.064999,45.717999,45.865002,45.865002,0
2011-02-28,45.963001,46.096001,45.841999,46.013000,46.013000,0
2011-03-01,46.099998,46.099998,45.506001,45.881001,45.881001,0
2011-03-02,45.263000,45.566002,45.175999,45.563000,45.563000,0
2011-03-03,45.646999,45.862999,45.584999,45.544998,45.544998,0
2011-03-04,45.431000,45.634998,45.270000,45.551998,45.551998,0
2011-03-07,45.590000,45.852001,45.590000,45.535999,45.535999,0
2011-03-08,45.558998,45.616001,45.222000,45.490002,45.490002,0
2011-03-09,45.351002,45.546001,45.263000,45.375999,45.375999,0
2011-03-10,45.328999,45.375000,45.078999,45.325001,45.325001,0
2011-03-11,45.367001,45.504002,45.070999,45.084999,45.084999,0
2011-03-14,45.592999,45.592999,45.262001,45.901001,45.901001,0
2011-03-15,45.035999,45.223999,44.426998,45.428001,45.428001,0
2011-03-16,44.750000,44.969002,44.287998,44.696999,44.696999,0
2011-03-17,44.356998,44.526001,44.231998,44.261002,44.261002,0
2011-03-18,44.925999,44.925999,44.557999,44.209999,44.209999,0
2011-03-21,45.056000,45.352001,44.720001,44.812000,44.812000,0
2011-03-22,45.278000,45.528000,45.210999,45.127998,45.127998,0
2011-03-23,45.342999,45.458000,45.168999,45.334000,45.334000,0
2011-03-24,45.456001,45.618000,45.245998,45.388000,45.388000,0
2011-03-25,45.542999,45.865002,45.493000,45.535999,45.535999,0
2011-03-28,45.886002,46.203999,45.879002,45.870998,45.870998,0
2011-03-29,45.902000,45.931000,45.617001,45.937000,45.937000,0
2011-03-30,46.058998,46.243999,45.980000,45.917999,45.917999,0
2011-03-31,46.189999,46.206001,45.937000,46.070999,46.070999,0
2011-04-01,46.067001,46.133999,45.854000,46.004002,46.004002,0
2011-04-04,45.985001,45.999001,45.814999,46.195000,46.195000,0
2011-04-05,45.769001,45.949001,45.671001,45.891998,45.891998,0
2011-04-06,45.873001,46.071999,45.750999,45.778000,45.778000,0
2011-04-07,46.210999,46.341999,45.955002,45.999001,45.999001,0
2011-04-08,46.353001,46.488998,46.201000,46.018002,46.018002,0
2011-04-11,46.590000,46.838001,46.590000,46.555000,46.555000,0
2011-04-12,46.063999,46.486000,45.997002,46.550999,46.550999,0
2011-04-13,46.338001,46.785999,46.338001,46.132000,46.132000,0
2011-04-14,46.826000,46.847000,46.305000,46.620998,46.620998,0
2011-04-15,null,null,null,null,null,null
2011-04-18,46.804001,46.834000,46.431000,46.799000,46.799000,0
2011-04-19,46.511002,46.771000,46.511002,46.645000,46.645000,0
2011-04-20,47.102001,47.346001,46.903000,46.727001,46.727001,0
2011-04-21,47.576000,47.765999,47.516998,47.345001,47.345001,0
2011-04-22,47.576000,47.765999,47.516998,47.345001,47.345001,0
2011-04-25,47.563000,47.868999,47.452999,47.573002,47.573002,0
2011-04-26,47.556999,47.925999,47.555000,47.597000,47.597000,0
2011-04-27,48.118000,48.138000,47.818001,47.854000,47.854000,0
2011-04-28,48.400002,48.535000,48.269001,48.188999,48.188999,0
2011-04-29,48.442001,48.515999,48.297001,48.223000,48.223000,0
2011-05-02,48.341999,48.748001,48.341999,48.520000,48.520000,0
2011-05-03,48.380001,48.568001,48.228001,48.410000,48.410000,0
2011-05-04,48.212002,48.419998,47.591000,48.223999,48.223999,0
2011-05-05,47.763000,47.870998,47.421001,47.695000,47.695000,0
